id,event,setting,mode,map,team,spec,player,player_score,kills,deaths,obj1,obj2,team_score,opponent,opponent_score
Champs_Millenium_Splyce_1,Champs,LAN,Hardpoint,Stronghold,Millenium,Kinetic A,Jurd,6350,42,28,1:33,10,250,Splyce,185
Champs_Millenium_Splyce_1,Champs,LAN,Hardpoint,Stronghold,Millenium,Active C,Tommey,4500,30,32,1:33,10,250,Splyce,185
Champs_Millenium_Splyce_1,Champs,LAN,Hardpoint,Stronghold,Millenium,Purifier,MiRx,5100,38,28,1:29,8,250,Splyce,185
Champs_Millenium_Splyce_1,Champs,LAN,Hardpoint,Stronghold,Millenium,Tempest,MadCat,4325,30,30,1:35,7,250,Splyce,185
Champs_Millenium_Splyce_1,Champs,LAN,Hardpoint,Stronghold,Splyce,Active C,Joshh,4150,30,39,0:38,3,250,Millenium,185
Champs_Millenium_Splyce_1,Champs,LAN,Hardpoint,Stronghold,Splyce,Tempest,Rated,3675,28,30,1:09,2,250,Millenium,185
Champs_Millenium_Splyce_1,Champs,LAN,Hardpoint,Stronghold,Splyce,Kinetic A,Bance,4175,27,35,0:57,7,250,Millenium,185
Champs_Millenium_Splyce_1,Champs,LAN,Hardpoint,Stronghold,Splyce,Purifier,Joee,4825,33,36,1:22,10,250,Millenium,185
Champs_Millenium_Splyce_2,Champs,LAN,Search and Destroy,Redwood,Millenium,Active C,Tommey,825,6,7,0,1,4,Splyce,6
Champs_Millenium_Splyce_2,Champs,LAN,Search and Destroy,Redwood,Millenium,Overdrive,Jurd,550,5,6,0,0,4,Splyce,6
Champs_Millenium_Splyce_2,Champs,LAN,Search and Destroy,Redwood,Millenium,Vision P,MadCat,1100,10,7,0,0,4,Splyce,6
Champs_Millenium_Splyce_2,Champs,LAN,Search and Destroy,Redwood,Millenium,Psychosis,MiRx,1100,6,7,4,0,4,Splyce,6
Champs_Millenium_Splyce_2,Champs,LAN,Search and Destroy,Redwood,Splyce,Active C,Rated,925,7,7,1,0,4,Millenium,6
Champs_Millenium_Splyce_2,Champs,LAN,Search and Destroy,Redwood,Splyce,Psychosis,Joee,1450,10,6,1,1,4,Millenium,6
Champs_Millenium_Splyce_2,Champs,LAN,Search and Destroy,Redwood,Splyce,Overdrive,Joshh,400,3,8,0,0,4,Millenium,6
Champs_Millenium_Splyce_2,Champs,LAN,Search and Destroy,Redwood,Splyce,Glitch,Bance,1050,7,7,1,1,4,Millenium,6
Champs_Millenium_Splyce_3,Champs,LAN,Uplink,Evac,Millenium,Scythe,Tommey,2100,19,22,0,0,6,Splyce,10
Champs_Millenium_Splyce_3,Champs,LAN,Uplink,Evac,Millenium,Kinetic A,Jurd,2425,20,19,0,2,6,Splyce,10
Champs_Millenium_Splyce_3,Champs,LAN,Uplink,Evac,Millenium,Tempest,MadCat,2200,18,21,0,0,6,Splyce,10
Champs_Millenium_Splyce_3,Champs,LAN,Uplink,Evac,Millenium,Psychosis,MiRx,2300,17,22,1,2,6,Splyce,10
Champs_Millenium_Splyce_3,Champs,LAN,Uplink,Evac,Splyce,Scythe,Rated,2450,18,17,2,0,6,Millenium,10
Champs_Millenium_Splyce_3,Champs,LAN,Uplink,Evac,Splyce,Psychosis,Joee,1850,17,21,0,0,6,Millenium,10
Champs_Millenium_Splyce_3,Champs,LAN,Uplink,Evac,Splyce,Tempest,Joshh,2375,19,22,0,0,6,Millenium,10
Champs_Millenium_Splyce_3,Champs,LAN,Uplink,Evac,Splyce,Kinetic A,Bance,3750,29,15,2,2,6,Millenium,10
Champs_Millenium_Splyce_4,Champs,LAN,Capture the Flag,Fringe,Millenium,Annihilator,Tommey,4010,33,20,0,1,2,Splyce,3
Champs_Millenium_Splyce_4,Champs,LAN,Capture the Flag,Fringe,Millenium,Vision P,Jurd,2700,20,15,0,1,2,Splyce,3
Champs_Millenium_Splyce_4,Champs,LAN,Capture the Flag,Fringe,Millenium,Tempest,MadCat,1750,11,12,1,1,2,Splyce,3
Champs_Millenium_Splyce_4,Champs,LAN,Capture the Flag,Fringe,Millenium,Psychosis,MiRx,2250,17,17,1,0,2,Splyce,3
