id,event,setting,mode,map,team,spec,player,player_score,kills,deaths,obj1,obj2,team_score,opponent,opponent_score
MLG_Anaheim_Cloud 9_OpTic Gaming_Hardpoint_Stronghold,MLG_Anaheim,LAN,Hardpoint,Stronghold,Cloud 9,NA,Havok,NA,28,33,105,NA,224,OpTic Gaming,250
MLG_Anaheim_Cloud 9_OpTic Gaming_Hardpoint_Stronghold,MLG_Anaheim,LAN,Hardpoint,Stronghold,Cloud 9,NA,Llama,NA,42,32,94,NA,224,OpTic Gaming,250
MLG_Anaheim_Cloud 9_OpTic Gaming_Hardpoint_Stronghold,MLG_Anaheim,LAN,Hardpoint,Stronghold,Cloud 9,NA,Happy,NA,32,31,85,NA,224,OpTic Gaming,250
MLG_Anaheim_Cloud 9_OpTic Gaming_Hardpoint_Stronghold,MLG_Anaheim,LAN,Hardpoint,Stronghold,Cloud 9,NA,Assault,NA,30,29,59,NA,224,OpTic Gaming,250
MLG_Anaheim_OpTic Gaming_Cloud 9_Hardpoint_Stronghold,MLG_Anaheim,LAN,Hardpoint,Stronghold,OpTic Gaming,NA,Scump,NA,31,29,111,NA,250,Cloud 9,224
MLG_Anaheim_OpTic Gaming_Cloud 9_Hardpoint_Stronghold,MLG_Anaheim,LAN,Hardpoint,Stronghold,OpTic Gaming,NA,Karma,NA,31,36,96,NA,250,Cloud 9,224
MLG_Anaheim_OpTic Gaming_Cloud 9_Hardpoint_Stronghold,MLG_Anaheim,LAN,Hardpoint,Stronghold,OpTic Gaming,NA,Crimsix,NA,28,32,52,NA,250,Cloud 9,224
MLG_Anaheim_OpTic Gaming_Cloud 9_Hardpoint_Stronghold,MLG_Anaheim,LAN,Hardpoint,Stronghold,OpTic Gaming,NA,Formal,NA,35,35,66,NA,250,Cloud 9,224
MLG_Anaheim_OpTic Gaming_Cloud 9_Search and Destroy_Hunted,MLG_Anaheim,LAN,Search and Destroy,Hunted,OpTic Gaming,NA,Scump,NA,16,7,3,NA,6,Cloud 9,5
MLG_Anaheim_OpTic Gaming_Cloud 9_Search and Destroy_Hunted,MLG_Anaheim,LAN,Search and Destroy,Hunted,OpTic Gaming,NA,Karma,NA,9,7,1,NA,6,Cloud 9,5
MLG_Anaheim_OpTic Gaming_Cloud 9_Search and Destroy_Hunted,MLG_Anaheim,LAN,Search and Destroy,Hunted,OpTic Gaming,NA,Crimsix,NA,8,7,0,NA,6,Cloud 9,5
MLG_Anaheim_OpTic Gaming_Cloud 9_Search and Destroy_Hunted,MLG_Anaheim,LAN,Search and Destroy,Hunted,OpTic Gaming,NA,Formal,NA,4,8,0,NA,6,Cloud 9,5
MLG_Anaheim_Cloud 9_OpTic Gaming_Search and Destroy_Hunted,MLG_Anaheim,LAN,Search and Destroy,Hunted,Cloud 9,NA,Havok,NA,10,11,0,NA,5,OpTic Gaming,6
MLG_Anaheim_Cloud 9_OpTic Gaming_Search and Destroy_Hunted,MLG_Anaheim,LAN,Search and Destroy,Hunted,Cloud 9,NA,Llama,NA,2,10,0,NA,5,OpTic Gaming,6
MLG_Anaheim_Cloud 9_OpTic Gaming_Search and Destroy_Hunted,MLG_Anaheim,LAN,Search and Destroy,Hunted,Cloud 9,NA,Happy,NA,6,10,0,NA,5,OpTic Gaming,6
MLG_Anaheim_Cloud 9_OpTic Gaming_Search and Destroy_Hunted,MLG_Anaheim,LAN,Search and Destroy,Hunted,Cloud 9,NA,Assault,NA,10,7,4,NA,5,OpTic Gaming,6
MLG_Anaheim_Cloud 9_OpTic Gaming_Uplink_Breach,MLG_Anaheim,LAN,Uplink,Breach,Cloud 9,NA,Havok,NA,19,26,0,NA,3,OpTic Gaming,14
MLG_Anaheim_Cloud 9_OpTic Gaming_Uplink_Breach,MLG_Anaheim,LAN,Uplink,Breach,Cloud 9,NA,Llama,NA,19,26,0,NA,3,OpTic Gaming,14
MLG_Anaheim_Cloud 9_OpTic Gaming_Uplink_Breach,MLG_Anaheim,LAN,Uplink,Breach,Cloud 9,NA,Happy,NA,18,26,1,NA,3,OpTic Gaming,14
MLG_Anaheim_Cloud 9_OpTic Gaming_Uplink_Breach,MLG_Anaheim,LAN,Uplink,Breach,Cloud 9,NA,Assault,NA,15,25,0,NA,3,OpTic Gaming,14
MLG_Anaheim_OpTic Gaming_Cloud 9_Uplink_Breach,MLG_Anaheim,LAN,Uplink,Breach,OpTic Gaming,NA,Scump,NA,29,15,0,NA,14,Cloud 9,3
MLG_Anaheim_OpTic Gaming_Cloud 9_Uplink_Breach,MLG_Anaheim,LAN,Uplink,Breach,OpTic Gaming,NA,Karma,NA,21,21,3,NA,14,Cloud 9,3
MLG_Anaheim_OpTic Gaming_Cloud 9_Uplink_Breach,MLG_Anaheim,LAN,Uplink,Breach,OpTic Gaming,NA,Crimsix,NA,23,18,2,NA,14,Cloud 9,3
MLG_Anaheim_OpTic Gaming_Cloud 9_Uplink_Breach,MLG_Anaheim,LAN,Uplink,Breach,OpTic Gaming,NA,Formal,NA,29,19,0,NA,14,Cloud 9,3
MLG_Anaheim_Team SoloMid_OpTic Gaming_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,Team SoloMid,NA,Pacman,NA,27,37,27,NA,113,OpTic Gaming,250
MLG_Anaheim_Team SoloMid_OpTic Gaming_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,Team SoloMid,NA,Ivy,NA,28,35,25,NA,113,OpTic Gaming,250
MLG_Anaheim_Team SoloMid_OpTic Gaming_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,Team SoloMid,NA,ColeChan,NA,25,33,29,NA,113,OpTic Gaming,250
MLG_Anaheim_Team SoloMid_OpTic Gaming_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,Team SoloMid,NA,Whea7s,NA,27,36,76,NA,113,OpTic Gaming,250
MLG_Anaheim_OpTic Gaming_Team SoloMid_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,OpTic Gaming,NA,Scump,NA,28,21,129,NA,250,Team SoloMid,113
MLG_Anaheim_OpTic Gaming_Team SoloMid_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,OpTic Gaming,NA,Formal,NA,38,28,74,NA,250,Team SoloMid,113
MLG_Anaheim_OpTic Gaming_Team SoloMid_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,OpTic Gaming,NA,Crimsix,NA,42,27,53,NA,250,Team SoloMid,113
MLG_Anaheim_OpTic Gaming_Team SoloMid_Hardpoint_Fringe,MLG_Anaheim,LAN,Hardpoint,Fringe,OpTic Gaming,NA,Karma,NA,33,32,70,NA,250,Team SoloMid,113
MLG_Anaheim_Team SoloMid_OpTic Gaming_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,Team SoloMid,NA,Pacman,NA,6,7,0,NA,1,OpTic Gaming,6
MLG_Anaheim_Team SoloMid_OpTic Gaming_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,Team SoloMid,NA,Ivy,NA,2,7,1,NA,1,OpTic Gaming,6
MLG_Anaheim_Team SoloMid_OpTic Gaming_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,Team SoloMid,NA,ColeChan,NA,3,7,0,NA,1,OpTic Gaming,6
MLG_Anaheim_Team SoloMid_OpTic Gaming_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,Team SoloMid,NA,Whea7s,NA,4,6,0,NA,1,OpTic Gaming,6
MLG_Anaheim_OpTic Gaming_Team SoloMid_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,OpTic Gaming,NA,Scump,NA,10,1,1,NA,6,Team SoloMid,1
MLG_Anaheim_OpTic Gaming_Team SoloMid_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,OpTic Gaming,NA,Formal,NA,6,4,0,NA,6,Team SoloMid,1
MLG_Anaheim_OpTic Gaming_Team SoloMid_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,OpTic Gaming,NA,Crimsix,NA,6,5,0,NA,6,Team SoloMid,1
MLG_Anaheim_OpTic Gaming_Team SoloMid_Search and Destroy_Redwood,MLG_Anaheim,LAN,Search and Destroy,Redwood,OpTic Gaming,NA,Karma,NA,5,6,0,NA,6,Team SoloMid,1
MLG_Anaheim_OpTic Gaming_Team SoloMid_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,OpTic Gaming,NA,Scump,NA,31,20,2,NA,17,Team SoloMid,2
MLG_Anaheim_OpTic Gaming_Team SoloMid_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,OpTic Gaming,NA,Formal,NA,29,23,0,NA,17,Team SoloMid,2
MLG_Anaheim_OpTic Gaming_Team SoloMid_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,OpTic Gaming,NA,Crimsix,NA,23,19,3,NA,17,Team SoloMid,2
MLG_Anaheim_OpTic Gaming_Team SoloMid_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,OpTic Gaming,NA,Karma,NA,16,14,1,NA,17,Team SoloMid,2
MLG_Anaheim_Team SoloMid_OpTic Gaming_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,Team SoloMid,NA,Pacman,NA,10,24,0,NA,2,OpTic Gaming,17
MLG_Anaheim_Team SoloMid_OpTic Gaming_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,Team SoloMid,NA,Ivy,NA,17,24,0,NA,2,OpTic Gaming,17
MLG_Anaheim_Team SoloMid_OpTic Gaming_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,Team SoloMid,NA,ColeChan,NA,21,23,1,NA,2,OpTic Gaming,17
MLG_Anaheim_Team SoloMid_OpTic Gaming_Uplink_Evac,MLG_Anaheim,LAN,Uplink,Evac,Team SoloMid,NA,Whea7s,NA,28,28,0,NA,2,OpTic Gaming,17
