id,event,setting,mode,map,team,spec,player,player_score,kills,deaths,obj1,obj2,team_score,opponent,opponent_score
MLG_Orlando_Team Envy_Elevate_1,MLG_Orlando,LAN,Hardpoint,Stronghold,Team Envy,Kinetic A,Apathy,NA,32,32,1:16,NA,250,Elevate,220
MLG_Orlando_Team Envy_Elevate_1,MLG_Orlando,LAN,Hardpoint,Stronghold,Team Envy,Tempest,SlasheR,NA,31,33,0:51,NA,250,Elevate,220
MLG_Orlando_Team Envy_Elevate_1,MLG_Orlando,LAN,Hardpoint,Stronghold,Team Envy,Active C,JKap,NA,41,31,1:39,NA,250,Elevate,220
MLG_Orlando_Team Envy_Elevate_1,MLG_Orlando,LAN,Hardpoint,Stronghold,Team Envy,Heat Wave,John,NA,34,33,2:10,NA,250,Elevate,220
MLG_Orlando_Team Envy_Elevate_1,MLG_Orlando,LAN,Hardpoint,Stronghold,Elevate,Tempest,Aqua,NA,38,36,0:39,NA,250,Team Envy,220
MLG_Orlando_Team Envy_Elevate_1,MLG_Orlando,LAN,Hardpoint,Stronghold,Elevate,Heat Wave,Nagafen,NA,30,32,1:04,NA,250,Team Envy,220
MLG_Orlando_Team Envy_Elevate_1,MLG_Orlando,LAN,Hardpoint,Stronghold,Elevate,Kinetic A,FeLonY,NA,29,33,1:46,NA,250,Team Envy,220
MLG_Orlando_Team Envy_Elevate_1,MLG_Orlando,LAN,Hardpoint,Stronghold,Elevate,Active C,Faccento,NA,32,37,1:10,NA,250,Team Envy,220
MLG_Orlando_Team Envy_Elevate_2,MLG_Orlando,LAN,Search and Destroy,Infection,Team Envy,Heat Wave,Apathy,NA,5,5,1,NA,6,Elevate,2
MLG_Orlando_Team Envy_Elevate_2,MLG_Orlando,LAN,Search and Destroy,Infection,Team Envy,Active C,SlasheR,NA,8,6,0,NA,6,Elevate,2
MLG_Orlando_Team Envy_Elevate_2,MLG_Orlando,LAN,Search and Destroy,Infection,Team Envy,Psychosis,JKap,NA,7,4,1,NA,6,Elevate,2
MLG_Orlando_Team Envy_Elevate_2,MLG_Orlando,LAN,Search and Destroy,Infection,Team Envy,Glitch,John,NA,7,4,0,NA,6,Elevate,2
MLG_Orlando_Team Envy_Elevate_2,MLG_Orlando,LAN,Search and Destroy,Infection,Elevate,Heat Wave,Aqua,NA,6,7,0,NA,6,Team Envy,2
MLG_Orlando_Team Envy_Elevate_2,MLG_Orlando,LAN,Search and Destroy,Infection,Elevate,Active C,Nagafen,NA,1,7,0,NA,6,Team Envy,2
MLG_Orlando_Team Envy_Elevate_2,MLG_Orlando,LAN,Search and Destroy,Infection,Elevate,Kinetic A,FeLonY,NA,5,6,2,NA,6,Team Envy,2
MLG_Orlando_Team Envy_Elevate_2,MLG_Orlando,LAN,Search and Destroy,Infection,Elevate,Glitch,Faccento,NA,7,7,0,NA,6,Team Envy,2
MLG_Orlando_Team Envy_Elevate_3,MLG_Orlando,LAN,Uplink,Evac,Team Envy,Kinetic A,Apathy,NA,19,23,1,NA,11,Elevate,16
MLG_Orlando_Team Envy_Elevate_3,MLG_Orlando,LAN,Uplink,Evac,Team Envy,Tempest,SlasheR,NA,24,23,0,NA,11,Elevate,16
MLG_Orlando_Team Envy_Elevate_3,MLG_Orlando,LAN,Uplink,Evac,Team Envy,Active C,JKap,NA,18,21,2,NA,11,Elevate,16
MLG_Orlando_Team Envy_Elevate_3,MLG_Orlando,LAN,Uplink,Evac,Team Envy,Heat Wave,John,NA,24,23,1,NA,11,Elevate,16
MLG_Orlando_Team Envy_Elevate_3,MLG_Orlando,LAN,Uplink,Evac,Elevate,Tempest,Aqua,NA,33,22,1,NA,11,Team Envy,16
MLG_Orlando_Team Envy_Elevate_3,MLG_Orlando,LAN,Uplink,Evac,Elevate,Heat Wave,Nagafen,NA,25,21,4,NA,11,Team Envy,16
MLG_Orlando_Team Envy_Elevate_3,MLG_Orlando,LAN,Uplink,Evac,Elevate,Kinetic A,FeLonY,NA,19,21,0,NA,11,Team Envy,16
MLG_Orlando_Team Envy_Elevate_3,MLG_Orlando,LAN,Uplink,Evac,Elevate,Active C,Faccento,NA,13,21,1,NA,11,Team Envy,16
MLG_Orlando_Team Envy_Elevate_4,MLG_Orlando,LAN,Capture the Flag,Fringe,Team Envy,Kinetic A,Apathy,NA,21,14,1,NA,2,Elevate,1
MLG_Orlando_Team Envy_Elevate_4,MLG_Orlando,LAN,Capture the Flag,Fringe,Team Envy,Tempest,SlasheR,NA,21,22,1,NA,2,Elevate,1
MLG_Orlando_Team Envy_Elevate_4,MLG_Orlando,LAN,Capture the Flag,Fringe,Team Envy,Active C,JKap,NA,22,20,0,NA,2,Elevate,1
MLG_Orlando_Team Envy_Elevate_4,MLG_Orlando,LAN,Capture the Flag,Fringe,Team Envy,Heat Wave,John,NA,26,21,0,NA,2,Elevate,1
MLG_Orlando_Team Envy_Elevate_4,MLG_Orlando,LAN,Capture the Flag,Fringe,Elevate,Tempest,Aqua,NA,22,20,0,NA,2,Team Envy,1
MLG_Orlando_Team Envy_Elevate_4,MLG_Orlando,LAN,Capture the Flag,Fringe,Elevate,Active C,Nagafen,NA,21,25,0,NA,2,Team Envy,1
MLG_Orlando_Team Envy_Elevate_4,MLG_Orlando,LAN,Capture the Flag,Fringe,Elevate,Kinetic A,FeLonY,NA,20,21,1,NA,2,Team Envy,1
MLG_Orlando_Team Envy_Elevate_4,MLG_Orlando,LAN,Capture the Flag,Fringe,Elevate,Heat Wave,Faccento,NA,14,24,0,NA,2,Team Envy,1
MLG_Orlando_Team Envy_eUnited_1,MLG_Orlando,LAN,Hardpoint,Evac,Team Envy,Heat Wave,John,5125,29,23,2:22,6,250,eUnited,118
MLG_Orlando_Team Envy_eUnited_1,MLG_Orlando,LAN,Hardpoint,Evac,Team Envy,Tempest,SlasheR,3200,28,20,0:28,0,250,eUnited,118
MLG_Orlando_Team Envy_eUnited_1,MLG_Orlando,LAN,Hardpoint,Evac,Team Envy,Active C,JKap,4375,31,25,1:27,12,250,eUnited,118
MLG_Orlando_Team Envy_eUnited_1,MLG_Orlando,LAN,Hardpoint,Evac,Team Envy,Psychosis,Apathy,3885,31,18,1:17,8,250,eUnited,118
MLG_Orlando_Team Envy_eUnited_1,MLG_Orlando,LAN,Hardpoint,Evac,eUnited,Tempest,Whea7s,3300,24,28,0:32,6,250,Team Envy,118
MLG_Orlando_Team Envy_eUnited_1,MLG_Orlando,LAN,Hardpoint,Evac,eUnited,Psychosis,Ivy,3150,18,33,0:52,7,250,Team Envy,118
MLG_Orlando_Team Envy_eUnited_1,MLG_Orlando,LAN,Hardpoint,Evac,eUnited,Heat Wave,Burns,2875,23,28,0:19,6,250,Team Envy,118
MLG_Orlando_Team Envy_eUnited_1,MLG_Orlando,LAN,Hardpoint,Evac,eUnited,Active C,Pacman,3275,21,32,0:52,9,250,Team Envy,118
MLG_Orlando_Team Envy_eUnited_2,MLG_Orlando,LAN,Search and Destroy,Breach,Team Envy,Glitch,John,1100,8,6,1,0,5,eUnited,6
MLG_Orlando_Team Envy_eUnited_2,MLG_Orlando,LAN,Search and Destroy,Breach,Team Envy,Active C,SlasheR,1200,8,6,1,1,5,eUnited,6
MLG_Orlando_Team Envy_eUnited_2,MLG_Orlando,LAN,Search and Destroy,Breach,Team Envy,Psychosis,JKap,570,5,7,0,0,5,eUnited,6
MLG_Orlando_Team Envy_eUnited_2,MLG_Orlando,LAN,Search and Destroy,Breach,Team Envy,Heat Wave,Apathy,1150,9,6,1,0,5,eUnited,6
MLG_Orlando_Team Envy_eUnited_2,MLG_Orlando,LAN,Search and Destroy,Breach,eUnited,Active C,Whea7s,660,6,9,0,0,5,Team Envy,6
MLG_Orlando_Team Envy_eUnited_2,MLG_Orlando,LAN,Search and Destroy,Breach,eUnited,Kinetic A,Ivy,1275,9,7,2,0,5,Team Envy,6
MLG_Orlando_Team Envy_eUnited_2,MLG_Orlando,LAN,Search and Destroy,Breach,eUnited,Heat Wave,Burns,725,5,6,0,1,5,Team Envy,6
MLG_Orlando_Team Envy_eUnited_2,MLG_Orlando,LAN,Search and Destroy,Breach,eUnited,Psychosis,Pacman,750,5,8,0,1,5,Team Envy,6
MLG_Orlando_Team Envy_eUnited_3,MLG_Orlando,LAN,Uplink,Fringe,Team Envy,Heat Wave,John,3425,26,18,1,1,14,eUnited,8
MLG_Orlando_Team Envy_eUnited_3,MLG_Orlando,LAN,Uplink,Fringe,Team Envy,Tempest,SlasheR,2575,22,23,1,0,14,eUnited,8
MLG_Orlando_Team Envy_eUnited_3,MLG_Orlando,LAN,Uplink,Fringe,Team Envy,Active C,JKap,3050,28,19,1,0,14,eUnited,8
MLG_Orlando_Team Envy_eUnited_3,MLG_Orlando,LAN,Uplink,Fringe,Team Envy,Kinetic A,Apathy,3450,24,24,3,1,14,eUnited,8
MLG_Orlando_Team Envy_eUnited_3,MLG_Orlando,LAN,Uplink,Fringe,eUnited,Active C,Whea7s,2300,20,28,1,0,14,Team Envy,8
MLG_Orlando_Team Envy_eUnited_3,MLG_Orlando,LAN,Uplink,Fringe,eUnited,Kinetic A,Ivy,2400,20,25,0,0,14,Team Envy,8
MLG_Orlando_Team Envy_eUnited_3,MLG_Orlando,LAN,Uplink,Fringe,eUnited,Heat Wave,Burns,2675,19,22,2,0,14,Team Envy,8
MLG_Orlando_Team Envy_eUnited_3,MLG_Orlando,LAN,Uplink,Fringe,eUnited,Tempest,Pacman,3000,25,25,1,0,14,Team Envy,8
MLG_Orlando_Team Envy_eUnited_4,MLG_Orlando,LAN,Capture the Flag,Stronghold,Team Envy,Heat Wave,John,2450,23,13,1,1,6,eUnited,0
MLG_Orlando_Team Envy_eUnited_4,MLG_Orlando,LAN,Capture the Flag,Stronghold,Team Envy,Tempest,SlasheR,3075,19,14,2,0,6,eUnited,0
MLG_Orlando_Team Envy_eUnited_4,MLG_Orlando,LAN,Capture the Flag,Stronghold,Team Envy,Psychosis,JKap,2600,18,14,1,0,6,eUnited,0
MLG_Orlando_Team Envy_eUnited_4,MLG_Orlando,LAN,Capture the Flag,Stronghold,Team Envy,Active C,Apathy,3075,22,13,2,1,6,eUnited,0
MLG_Orlando_Team Envy_eUnited_4,MLG_Orlando,LAN,Capture the Flag,Stronghold,eUnited,Vision P,Whea7s,1950,15,19,0,1,6,Team Envy,0
MLG_Orlando_Team Envy_eUnited_4,MLG_Orlando,LAN,Capture the Flag,Stronghold,eUnited,Heat Wave,Ivy,1425,10,24,0,1,6,Team Envy,0
MLG_Orlando_Team Envy_eUnited_4,MLG_Orlando,LAN,Capture the Flag,Stronghold,eUnited,Active C,Burns,1385,10,19,0,2,6,Team Envy,0
MLG_Orlando_Team Envy_eUnited_4,MLG_Orlando,LAN,Capture the Flag,Stronghold,eUnited,Tempest,Pacman,2300,17,21,0,0,6,Team Envy,0
MLG_Orlando_Team Envy_BitterSweet_1,MLG_Orlando,LAN,Hardpoint,Breach,Team Envy,Active C,JKap,NA,18,21,1:04,NA,250,BitterSweet,131
MLG_Orlando_Team Envy_BitterSweet_1,MLG_Orlando,LAN,Hardpoint,Breach,Team Envy,Kinetic A,Apathy,NA,26,17,1:32,NA,250,BitterSweet,131
MLG_Orlando_Team Envy_BitterSweet_1,MLG_Orlando,LAN,Hardpoint,Breach,Team Envy,Tempest,SlasheR,NA,35,17,0:58,NA,250,BitterSweet,131
MLG_Orlando_Team Envy_BitterSweet_1,MLG_Orlando,LAN,Hardpoint,Breach,Team Envy,Purifier,John,NA,25,22,1:33,NA,250,BitterSweet,131
MLG_Orlando_Team Envy_BitterSweet_1,MLG_Orlando,LAN,Hardpoint,Breach,BitterSweet,Kinetic A,Copier,NA,25,28,1:04,NA,250,Team Envy,131
MLG_Orlando_Team Envy_BitterSweet_1,MLG_Orlando,LAN,Hardpoint,Breach,BitterSweet,Active C,Hippi,NA,26,21,1:05,NA,250,Team Envy,131
MLG_Orlando_Team Envy_BitterSweet_1,MLG_Orlando,LAN,Hardpoint,Breach,BitterSweet,Purifier,Buck,NA,14,26,0:08,NA,250,Team Envy,131
MLG_Orlando_Team Envy_BitterSweet_1,MLG_Orlando,LAN,Hardpoint,Breach,BitterSweet,Scythe,Quality,NA,12,31,0:29,NA,250,Team Envy,131
MLG_Orlando_Team Envy_BitterSweet_2,MLG_Orlando,LAN,Search and Destroy,Fringe,Team Envy,Psychosis,JKap,NA,6,6,2,NA,4,BitterSweet,6
MLG_Orlando_Team Envy_BitterSweet_2,MLG_Orlando,LAN,Search and Destroy,Fringe,Team Envy,Heat Wave,Apathy,NA,10,8,1,NA,4,BitterSweet,6
MLG_Orlando_Team Envy_BitterSweet_2,MLG_Orlando,LAN,Search and Destroy,Fringe,Team Envy,Active C,SlasheR,NA,9,8,0,NA,4,BitterSweet,6
MLG_Orlando_Team Envy_BitterSweet_2,MLG_Orlando,LAN,Search and Destroy,Fringe,Team Envy,Glitch,John,NA,5,8,0,NA,4,BitterSweet,6
MLG_Orlando_Team Envy_BitterSweet_2,MLG_Orlando,LAN,Search and Destroy,Fringe,BitterSweet,Kinetic A,Copier,NA,6,10,0,NA,4,Team Envy,6
MLG_Orlando_Team Envy_BitterSweet_2,MLG_Orlando,LAN,Search and Destroy,Fringe,BitterSweet,Active C,Hippi,NA,10,6,0,NA,4,Team Envy,6
MLG_Orlando_Team Envy_BitterSweet_2,MLG_Orlando,LAN,Search and Destroy,Fringe,BitterSweet,Heat Wave,Buck,NA,6,7,0,NA,4,Team Envy,6
