id,event,setting,mode,map,team,spec,player,player_score,kills,deaths,obj1,obj2,team_score,opponent,opponent_score
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_1,NA_Stage2_Playoffs,LAN,Hardpoint,Breach,Team Envy,Kinetic A,Apathy,NA,28,19,0:52,NA,250,H2k-Gaming,127
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_1,NA_Stage2_Playoffs,LAN,Hardpoint,Breach,Team Envy,Heat Wave,John,NA,29,16,2:25,NA,250,H2k-Gaming,127
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_1,NA_Stage2_Playoffs,LAN,Hardpoint,Breach,Team Envy,Active C,JKap,NA,16,22,0:57,NA,250,H2k-Gaming,127
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_1,NA_Stage2_Playoffs,LAN,Hardpoint,Breach,Team Envy,Tempest,SlasheR,NA,22,18,1:09,NA,250,H2k-Gaming,127
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_1,NA_Stage2_Playoffs,LAN,Hardpoint,Breach,H2k-Gaming,Active C,FEARS,NA,15,27,0:12,NA,250,Team Envy,127
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_1,NA_Stage2_Playoffs,LAN,Hardpoint,Breach,H2k-Gaming,Kinetic A,Legal,NA,15,21,1:08,NA,250,Team Envy,127
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_1,NA_Stage2_Playoffs,LAN,Hardpoint,Breach,H2k-Gaming,Heat Wave,Lacefield,NA,24,22,0:50,NA,250,Team Envy,127
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_1,NA_Stage2_Playoffs,LAN,Hardpoint,Breach,H2k-Gaming,Purifier,PHiZZURP,NA,21,26,0:23,NA,250,Team Envy,127
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_2,NA_Stage2_Playoffs,LAN,Uplink,Evac,Team Envy,Kinetic A,Apathy,NA,21,20,0,NA,10,H2k-Gaming,4
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_2,NA_Stage2_Playoffs,LAN,Uplink,Evac,Team Envy,Psychosis,John,NA,19,20,2,NA,10,H2k-Gaming,4
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_2,NA_Stage2_Playoffs,LAN,Uplink,Evac,Team Envy,Active C,JKap,NA,18,21,2,NA,10,H2k-Gaming,4
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_2,NA_Stage2_Playoffs,LAN,Uplink,Evac,Team Envy,Tempest,SlasheR,NA,29,19,0,NA,10,H2k-Gaming,4
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_2,NA_Stage2_Playoffs,LAN,Uplink,Evac,H2k-Gaming,Annihilator,FEARS,NA,15,20,0,NA,10,Team Envy,4
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_2,NA_Stage2_Playoffs,LAN,Uplink,Evac,H2k-Gaming,Active C,Legal,NA,17,22,1,NA,10,Team Envy,4
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_2,NA_Stage2_Playoffs,LAN,Uplink,Evac,H2k-Gaming,Kinetic A,Lacefield,NA,27,23,0,NA,10,Team Envy,4
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_2,NA_Stage2_Playoffs,LAN,Uplink,Evac,H2k-Gaming,Scythe,PHiZZURP,NA,21,22,0,NA,10,Team Envy,4
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_3,NA_Stage2_Playoffs,LAN,Search and Destroy,Fringe,Team Envy,Glitch,Apathy,NA,7,6,0,NA,6,H2k-Gaming,5
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_3,NA_Stage2_Playoffs,LAN,Search and Destroy,Fringe,Team Envy,Heat Wave,John,NA,13,7,0,NA,6,H2k-Gaming,5
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_3,NA_Stage2_Playoffs,LAN,Search and Destroy,Fringe,Team Envy,Psychosis,JKap,NA,7,7,2,NA,6,H2k-Gaming,5
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_3,NA_Stage2_Playoffs,LAN,Search and Destroy,Fringe,Team Envy,Active C,SlasheR,NA,6,7,0,NA,6,H2k-Gaming,5
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_3,NA_Stage2_Playoffs,LAN,Search and Destroy,Fringe,H2k-Gaming,Psychosis,FEARS,NA,4,10,0,NA,6,Team Envy,5
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_3,NA_Stage2_Playoffs,LAN,Search and Destroy,Fringe,H2k-Gaming,Active C,Legal,NA,3,7,0,NA,6,Team Envy,5
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_3,NA_Stage2_Playoffs,LAN,Search and Destroy,Fringe,H2k-Gaming,Heat Wave,Lacefield,NA,5,8,2,NA,6,Team Envy,5
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_3,NA_Stage2_Playoffs,LAN,Search and Destroy,Fringe,H2k-Gaming,Overdrive,PHiZZURP,NA,14,8,0,NA,6,Team Envy,5
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_4,NA_Stage2_Playoffs,LAN,Capture the Flag,Stronghold,Team Envy,Active C,Apathy,NA,14,19,2,NA,5,H2k-Gaming,1
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_4,NA_Stage2_Playoffs,LAN,Capture the Flag,Stronghold,Team Envy,Vision P,John,NA,16,20,0,NA,5,H2k-Gaming,1
NA_Stage2_Playoffs_Team Envy_H2k-Gaming_4,NA_Stage2_Playoffs,LAN,Capture the Flag,Stronghold,Team Envy,Psychosis,JKap,NA,27,13,2,NA,5,H2k-Gaming,1
