id,event,setting,mode,map,team,spec,player,player_score,kills,deaths,obj1,obj2,team_score,opponent,opponent_score
NA_Stage1_Week1_FaZe Clan_Rise Nation_1,NA_Stage1_Week1,Online,Hardpoint,Fringe,FaZe Clan,Scythe,Octane,NA,31,32,0:49,NA,213,Rise Nation,250
NA_Stage1_Week1_FaZe Clan_Rise Nation_1,NA_Stage1_Week1,Online,Hardpoint,Fringe,FaZe Clan,Heat Wave,Classic,NA,23,41,1:05,NA,213,Rise Nation,250
NA_Stage1_Week1_FaZe Clan_Rise Nation_1,NA_Stage1_Week1,Online,Hardpoint,Fringe,FaZe Clan,Purifier,Slacked,NA,31,37,1:11,NA,213,Rise Nation,250
NA_Stage1_Week1_FaZe Clan_Rise Nation_1,NA_Stage1_Week1,Online,Hardpoint,Fringe,FaZe Clan,Kinetic A,Loony,NA,36,37,1:11,NA,213,Rise Nation,250
NA_Stage1_Week1_FaZe Clan_Rise Nation_1,NA_Stage1_Week1,Online,Hardpoint,Fringe,FaZe Clan,Kinetic A,Attach,NA,33,25,1:03,NA,213,Rise Nation,250
NA_Stage1_Week1_FaZe Clan_Rise Nation_1,NA_Stage1_Week1,Online,Hardpoint,Fringe,FaZe Clan,Annihilator,Enable,NA,31,31,1:38,NA,213,Rise Nation,250
NA_Stage1_Week1_FaZe Clan_Rise Nation_1,NA_Stage1_Week1,Online,Hardpoint,Fringe,FaZe Clan,Scythe,ZooMaa,NA,42,31,2:01,NA,213,Rise Nation,250
NA_Stage1_Week1_FaZe Clan_Rise Nation_1,NA_Stage1_Week1,Online,Hardpoint,Fringe,FaZe Clan,Heat Wave,Clayster,NA,41,34,1:18,NA,213,Rise Nation,250
NA_Stage1_Week1_FaZe Clan_Rise Nation_2,NA_Stage1_Week1,Online,Search and Destroy,Breach,FaZe Clan,Heat Wave,Classic,NA,6,9,3,NA,6,Rise Nation,5
NA_Stage1_Week1_FaZe Clan_Rise Nation_2,NA_Stage1_Week1,Online,Search and Destroy,Breach,FaZe Clan,Active C,Slacked,NA,6,8,0,NA,6,Rise Nation,5
NA_Stage1_Week1_FaZe Clan_Rise Nation_2,NA_Stage1_Week1,Online,Search and Destroy,Breach,FaZe Clan,Kinetic A,Loony,NA,11,9,0,NA,6,Rise Nation,5
NA_Stage1_Week1_FaZe Clan_Rise Nation_2,NA_Stage1_Week1,Online,Search and Destroy,Breach,FaZe Clan,Vision P,Octane,NA,11,8,0,NA,6,Rise Nation,5
NA_Stage1_Week1_FaZe Clan_Rise Nation_2,NA_Stage1_Week1,Online,Search and Destroy,Breach,FaZe Clan,Kinetic A,Attach,NA,10,7,1,NA,6,Rise Nation,5
