match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,hits,shots,accuracy (%),avg kill dist (m),fave weapon,fave rig,fave payload,fave trait,fave scorestreaks,hill time (s),hill captures,hill defends,snd rounds,snd firstbloods,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,uplink dunks,uplink throws,uplink points,2-piece,3-piece,4-piece,multikills,4-streak,5-streak,6-streak,7-streak,8+-streak,4+-streak,scorestreaks earned,scorestreaks used,payloads earned,payloads used
11D283CFED0A6B34-83CF-11D2-44B6-0CFE451,pool-A-5,2017-02-10 19:12:43 UTC,702,Hardpoint,Throwback,Enigma6,General,L,210,28,28,0,1,23.9,23.9,8,0,0,0,144,634,0.227,22.6m,NV4,Phantom,Active Camo,Rearguard,"Scarab, Trinity Rocket, Bombardment",37,4,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,1,1,1
11D283CFED0A6B34-83CF-11D2-44B6-0CFE451,pool-A-5,2017-02-10 19:12:43 UTC,702,Hardpoint,Throwback,Enigma6,Kade,L,210,29,34,-5,0.85,24.8,29.1,14,2,0,0,168,682,0.246,17.9m,KBAR-32,FTL,FTL Jump,Power Slide,"Scarab, Trinity Rocket, Bombardment",70,6,4,0,0,0,0,0,0,0,0,0,4,1,0,5,0,1,0,0,0,1,1,1,2,2
11D283CFED0A6B34-83CF-11D2-44B6-0CFE451,pool-A-5,2017-02-10 19:12:43 UTC,702,Hardpoint,Throwback,Enigma6,MRuiz,L,210,25,30,-5,0.83,21.4,25.6,10,0,0,0,143,635,0.225,11.0m,KBAR-32,Stryker,Centurion,Trophy Drone,"Scarab, Trinity Rocket, Bombardment",59,7,1,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,1,1,1,1
11D283CFED0A6B34-83CF-11D2-44B6-0CFE451,pool-A-5,2017-02-10 19:12:43 UTC,702,Hardpoint,Throwback,Enigma6,Proto,L,210,31,32,-1,0.97,26.5,27.4,7,2,0,1,117,598,0.196,14.5m,KBAR-32,Merc,Reactive Armor,Shockwave,"Scarab, Trinity Rocket, Bombardment",76,8,3,0,0,0,0,0,0,0,0,0,6,0,0,6,0,1,0,0,0,1,1,1,1,1
11D283CFED0A6B34-83CF-11D2-44B6-0CFE451,pool-A-5,2017-02-10 19:12:43 UTC,702,Hardpoint,Throwback,FaZe Clan,Attach,W,250,35,24,11,1.46,29.9,20.5,8,4,0,2,134,719,0.186,17.0m,KBAR-32,FTL,FTL Jump,,"Scarab, Trinity Rocket, Bombardment",116,9,3,0,0,0,0,0,0,0,0,0,9,1,0,10,1,1,0,0,0,2,2,1,2,2
11D283CFED0A6B34-83CF-11D2-44B6-0CFE451,pool-A-5,2017-02-10 19:12:43 UTC,702,Hardpoint,Throwback,FaZe Clan,Clayster,W,250,22,29,-7,0.76,18.8,24.8,9,4,0,0,127,591,0.215,18.8m,KBAR-32,Phantom,Active Camo,Rearguard,"Trinity Rocket, Bombardment, Warden",71,5,2,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,1,0,2,2,1,1,1
11D283CFED0A6B34-83CF-11D2-44B6-0CFE451,pool-A-5,2017-02-10 19:12:43 UTC,702,Hardpoint,Throwback,FaZe Clan,Enable,W,250,29,29,0,1,24.8,24.8,15,2,0,0,153,623,0.246,20.2m,KBAR-32,Stryker,Centurion,Trophy Drone,"Scarab, Trinity Rocket, Bombardment",38,4,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,1,1
11D283CFED0A6B34-83CF-11D2-44B6-0CFE451,pool-A-5,2017-02-10 19:12:43 UTC,702,Hardpoint,Throwback,FaZe Clan,Zoomaa,W,250,37,33,4,1.12,31.6,28.2,6,2,0,0,158,711,0.222,16.4m,KBAR-32,Merc,Reactive Armor,Shockwave,"Scarab, Trinity Rocket, Bombardment",52,7,3,0,0,0,0,0,0,0,0,0,5,1,0,6,2,0,0,0,0,2,2,1,1,1
11D283D04F44189A-83D0-11D2-5763-00D9D1B,pool-C-5,2017-02-10 19:13:36 UTC,587,Hardpoint,Throwback,Elevate,Reedy,L,179,23,29,-6,0.79,23.5,29.6,9,2,0,0,111,505,0.22,17.4m,Erad,Warfighter,Overdrive,Resupply,"Scarab, Trinity Rocket, Bombardment",36,5,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1
11D283D04F44189A-83D0-11D2-5763-00D9D1B,pool-C-5,2017-02-10 19:13:36 UTC,587,Hardpoint,Throwback,Elevate,Seany,L,179,24,24,0,1,24.5,24.5,9,4,0,0,118,523,0.226,19.7m,KBAR-32,Stryker,Centurion,Trophy Drone,"Scarab, Trinity Rocket, Bombardment",126,6,7,0,0,0,0,0,0,0,0,0,4,1,0,5,1,0,0,0,0,1,1,1,1,1
11D283D04F44189A-83D0-11D2-5763-00D9D1B,pool-C-5,2017-02-10 19:13:36 UTC,587,Hardpoint,Throwback,Elevate,Watson,L,179,25,28,-3,0.89,25.6,28.6,10,0,0,0,128,556,0.23,18.4m,KBAR-32,Phantom,Active Camo,Rearguard,"Trinity Rocket, Scorchers, Bombardment",7,1,2,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1
11D283D04F44189A-83D0-11D2-5763-00D9D1B,pool-C-5,2017-02-10 19:13:36 UTC,587,Hardpoint,Throwback,Elevate,Zed,L,179,26,29,-3,0.9,26.6,29.6,9,3,0,0,134,552,0.243,12.8m,KBAR-32,Merc,Reactive Armor,Shockwave,"Scarab, Trinity Rocket, Bombardment",35,3,4,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,1,1,1,1
11D283D04F44189A-83D0-11D2-5763-00D9D1B,pool-C-5,2017-02-10 19:13:36 UTC,587,Hardpoint,Throwback,Team 3G,Niall,W,250,24,23,1,1.04,24.5,23.5,10,2,0,0,126,588,0.214,15.8m,KBAR-32,Phantom,Active Camo,Rearguard,"Scarab, Trinity Rocket, Bombardment",50,2,1,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,1,1,0,1,1
11D283D04F44189A-83D0-11D2-5763-00D9D1B,pool-C-5,2017-02-10 19:13:36 UTC,587,Hardpoint,Throwback,Team 3G,QwiKeR,W,250,25,26,-1,0.96,25.6,26.6,6,1,0,0,125,495,0.253,13.9m,KBAR-32,Merc,Reactive Armor,Man-at-Arms,"Scarab, Trinity Rocket, Bombardment",57,6,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1
11D283D04F44189A-83D0-11D2-5763-00D9D1B,pool-C-5,2017-02-10 19:13:36 UTC,587,Hardpoint,Throwback,Team 3G,Weeman,W,250,31,22,9,1.41,31.7,22.5,9,2,0,0,128,474,0.27,20.6m,KBAR-32,Stryker,Centurion,Trophy Drone,"Scarab, Trinity Rocket, Bombardment",110,6,8,0,0,0,0,0,0,0,0,0,3,1,1,5,0,1,0,0,1,2,5,2,1,1
11D283D04F44189A-83D0-11D2-5763-00D9D1B,pool-C-5,2017-02-10 19:13:36 UTC,587,Hardpoint,Throwback,Team 3G,Zerg,W,250,30,28,2,1.07,30.7,28.6,8,2,0,1,150,645,0.233,18.2m,KBAR-32,Warfighter,Overdrive,Resupply,"Scarab, Trinity Rocket, Bombardment",64,3,3,0,0,0,0,0,0,0,0,0,5,1,0,6,2,0,0,0,0,2,2,0,1,0
11D283D0712867B8-83D0-11D2-88F1-709E294,pool-A-1,2017-02-10 19:13:54 UTC,520,Hardpoint,Retaliation,Rise Nation,Aqua,L,165,20,16,4,1.25,23.1,18.5,4,1,0,0,91,395,0.23,16.1m,NV4,Stryker,Centurion,Trophy Drone,"Scarab, Trinity Rocket, Bombardment",66,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,1,1,0,0
11D283D0712867B8-83D0-11D2-88F1-709E294,pool-A-1,2017-02-10 19:13:54 UTC,520,Hardpoint,Retaliation,Rise Nation,Faccento,L,165,12,22,-10,0.55,13.8,25.4,5,0,0,0,69,372,0.185,15.4m,KBAR-32,Phantom,Active Camo,Rearguard,"Trinity Rocket, Scorchers, Bombardment",41,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11D283D0712867B8-83D0-11D2-88F1-709E294,pool-A-1,2017-02-10 19:13:54 UTC,520,Hardpoint,Retaliation,Rise Nation,Felony,L,165,18,21,-3,0.86,20.8,24.2,7,1,0,0,103,431,0.239,23.8m,NV4,Merc,Reactive Armor,Shockwave,"Scarab, Trinity Rocket, Bombardment",50,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,1,1,1,0,0
11D283D0712867B8-83D0-11D2-88F1-709E294,pool-A-1,2017-02-10 19:13:54 UTC,520,Hardpoint,Retaliation,Rise Nation,Loony,L,165,14,21,-7,0.67,16.2,24.2,5,1,0,0,69,348,0.198,15.0m,KBAR-32,FTL,FTL Jump,,"Scarab, Trinity Rocket, Bombardment",37,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
11D283D0712867B8-83D0-11D2-88F1-709E294,pool-A-1,2017-02-10 19:13:54 UTC,520,Hardpoint,Retaliation,Team Infused,MarkyB,W,250,17,16,1,1.06,19.6,18.5,7,1,0,0,84,379,0.222,20.0m,NV4,FTL,FTL Jump,,"Scarab, Trinity Rocket, Bombardment",74,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1
11D283D0712867B8-83D0-11D2-88F1-709E294,pool-A-1,2017-02-10 19:13:54 UTC,520,Hardpoint,Retaliation,Team Infused,Moose,W,250,23,14,9,1.64,26.5,16.2,3,0,0,0,87,311,0.28,17.4m,KBAR-32,Stryker,Centurion,Trophy Drone,"Scarab, Trinity Rocket, Bombardment",97,6,3,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,1,0,0,1,3,2,1,0
11D283D0712867B8-83D0-11D2-88F1-709E294,pool-A-1,2017-02-10 19:13:54 UTC,520,Hardpoint,Retaliation,Team Infused,Nolson,W,250,19,16,3,1.19,21.9,18.5,11,2,0,0,105,406,0.259,22.2m,KBAR-32,Phantom,Active Camo,Rearguard,"Trinity Rocket, Scorchers, Bombardment",24,2,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0
11D283D0712867B8-83D0-11D2-88F1-709E294,pool-A-1,2017-02-10 19:13:54 UTC,520,Hardpoint,Retaliation,Team Infused,Peatie,W,250,21,18,3,1.17,24.2,20.8,8,2,0,0,17,440,0.039,17.5m,KBAR-32,Merc,Reactive Armor,Man-at-Arms,"Scarab, Trinity Rocket, Bombardment",94,5,5,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,1,0,1,3,3,0,0
11D283D1106F90F8-83D1-11D2-9DB5-0CFE454,pool-C-1,2017-02-10 19:20:10 UTC,674,Hardpoint,Retaliation,Cloud9,Aches,W,250,18,20,-2,0.9,16,17.8,4,0,0,0,86,636,0.135,14.1m,KBAR-32,Warfighter,Overdrive,Resupply,"Trinity Rocket, Scorchers, Bombardment",104,7,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1
11D283D1106F90F8-83D1-11D2-9DB5-0CFE454,pool-C-1,2017-02-10 19:20:10 UTC,674,Hardpoint,Retaliation,Cloud9,Assault,W,250,33,22,11,1.5,29.4,19.6,9,1,0,0,144,594,0.242,25.6m,NV4,Phantom,Active Camo,Rearguard,"Trinity Rocket, Scorchers, Bombardment",60,5,3,0,0,0,0,0,0,0,0,0,4,1,0,5,0,1,1,0,0,2,1,1,2,2
11D283D1106F90F8-83D1-11D2-9DB5-0CFE454,pool-C-1,2017-02-10 19:20:10 UTC,674,Hardpoint,Retaliation,Cloud9,Lacefield,W,250,24,24,0,1,21.4,21.4,13,1,0,0,132,591,0.223,15.6m,KBAR-32,Merc,Reactive Armor,Man-at-Arms,"Trinity Rocket, Scorchers, Bombardment",66,8,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,1
11D283D1106F90F8-83D1-11D2-9DB5-0CFE454,pool-C-1,2017-02-10 19:20:10 UTC,674,Hardpoint,Retaliation,Cloud9,Ricky,W,250,23,25,-2,0.92,20.5,22.3,9,2,0,1,108,621,0.174,21.0m,NV4,Stryker,Centurion,Trophy Drone,"Scarab, Trinity Rocket, Bombardment",57,6,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,1,1
11D283D1106F90F8-83D1-11D2-9DB5-0CFE454,pool-C-1,2017-02-10 19:20:10 UTC,674,Hardpoint,Retaliation,Luminosity Gaming,Classic,L,222,24,22,2,1.09,21.4,19.6,7,4,0,0,128,627,0.204,23.3m,NV4,Phantom,Active Camo,Rearguard,"Scarab, Trinity Rocket, Bombardment",71,5,6,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,1,1,1,1,1
11D283D1106F90F8-83D1-11D2-9DB5-0CFE454,pool-C-1,2017-02-10 19:20:10 UTC,674,Hardpoint,Retaliation,Luminosity Gaming,Octane,L,222,18,30,-12,0.6,16,26.7,9,1,0,0,104,473,0.22,24.3m,NV4,FTL,FTL Jump,,"Trinity Rocket, Scorchers, Bombardment",66,3,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0
11D283D1106F90F8-83D1-11D2-9DB5-0CFE454,pool-C-1,2017-02-10 19:20:10 UTC,674,Hardpoint,Retaliation,Luminosity Gaming,Saints,L,222,31,24,7,1.29,27.6,21.4,7,3,0,1,134,551,0.243,16.5m,KBAR-32,Merc,Reactive Armor,Shockwave,"Trinity Rocket, Scorchers, Bombardment",53,7,5,0,0,0,0,0,0,0,0,0,6,1,0,7,1,0,1,0,0,2,3,3,1,1
11D283D1106F90F8-83D1-11D2-9DB5-0CFE454,pool-C-1,2017-02-10 19:20:10 UTC,674,Hardpoint,Retaliation,Luminosity Gaming,Slacked,L,222,17,23,-6,0.74,15.1,20.5,15,2,0,0,102,582,0.175,16.7m,KBAR-32,Stryker,Centurion,Trophy Drone,"Scarab, Trinity Rocket, Bombardment",86,7,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0
11D283D2A9134DF8-83D2-11D2-88F1-709E294,pool-A-1,2017-02-10 19:32:42 UTC,695,Search & Destroy,Scorch,Rise Nation,Aqua,W,6,2,5,-3,0.4,1.7,4.3,3,1,0,0,11,41,0.268,20.4m,NV4,FTL,FTL Jump,,"Scarab, Trinity Rocket, Bombardment",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11D283D2A9134DF8-83D2-11D2-88F1-709E294,pool-A-1,2017-02-10 19:32:42 UTC,695,Search & Destroy,Scorch,Rise Nation,Faccento,W,6,4,5,-1,0.8,3.5,4.3,2,0,0,0,23,149,0.154,11.1m,KBAR-32,Phantom,Active Camo,Rearguard,"Scarab, Trinity Rocket, Bombardment",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11D283D2A9134DF8-83D2-11D2-88F1-709E294,pool-A-1,2017-02-10 19:32:42 UTC,695,Search & Destroy,Scorch,Rise Nation,Felony,W,6,13,3,10,4.33,11.2,2.6,1,3,0,0,50,184,0.272,20.8m,NV4,Merc,Reactive Armor,Shockwave,"Scarab, Trinity Rocket, Bombardment",0,0,0,8,1,4,3,1,0,0,0,0,2,0,0,2,0,0,0,1,0,1,3,2,1,1
