match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,hits,shots,accuracy (%),avg kill dist (m),fave weapon,fave rig,fave payload,fave trait,fave scorestreaks,hill time (s),hill captures,hill defends,snd rounds,snd firstbloods,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,uplink dunks,uplink throws,uplink points,2-piece,3-piece,4-piece,multikills,4-streak,5-streak,6-streak,7-streak,8+-streak,4+-streak,scorestreaks earned,scorestreaks used,payloads earned,payloads used
3410E94E-9F51-11D2-8F03-00D9D1B0A5AB,pool-D-7,2017-03-17 19:13:06 UTC,486,Hardpoint,Retaliation,Enigma6,General,W,250,27,18,9,1.5,33.3,22.2,8,0,0,0,125,481,0.26,19.1m,NV4,Phantom,Active Camo,Rearguard,"Scarab, Trinity Rocket, Bombardment",76,3,4,0,0,0,0,0,0,0,0,0,4,0,0,4,2,0,0,0,0,2,3,1,1,1
3410E94E-9F51-11D2-8F03-00D9D1B0A5AB,pool-D-7,2017-03-17 19:13:06 UTC,486,Hardpoint,Retaliation,Enigma6,Kade,W,250,20,15,5,1.33,24.7,18.5,4,1,0,0,94,387,0.243,18.7m,KBAR-32,Stryker,Centurion,Trophy Drone,"Scarab, Trinity Rocket, Bombardment",127,3,7,0,0,0,0,0,0,0,0,0,4,1,0,5,1,0,0,0,0,1,1,1,0,0
3410E94E-9F51-11D2-8F03-00D9D1B0A5AB,pool-D-7,2017-03-17 19:13:06 UTC,486,Hardpoint,Retaliation,Enigma6,MRuiz,W,250,22,14,8,1.57,27.2,17.3,11,2,0,0,101,500,0.202,19.1m,KBAR-32,FTL,FTL Jump,,"Scarab, Trinity Rocket, Bombardment",67,6,3,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,1,0,3,5,5,1,1
3410E94E-9F51-11D2-8F03-00D9D1B0A5AB,pool-D-7,2017-03-17 19:13:06 UTC,486,Hardpoint,Retaliation,Enigma6,Proto,W,250,17,16,1,1.06,21,19.8,7,1,0,0,78,362,0.215,19.4m,KBAR-32,Merc,Reactive Armor,Shockwave,"Scarab, Trinity Rocket, Bombardment",58,3,1,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,0,1,0,0,0,0
3410E94E-9F51-11D2-8F03-00D9D1B0A5AB,pool-D-7,2017-03-17 19:13:06 UTC,486,Hardpoint,Retaliation,Pnda Gaming,Fastballa,L,95,19,26,-7,0.73,23.5,32.1,3,0,0,0,100,424,0.236,15.4m,KBAR-32,Phantom,Active Camo,Rearguard,"Scarab, Trinity Rocket, Bombardment",16,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3410E94E-9F51-11D2-8F03-00D9D1B0A5AB,pool-D-7,2017-03-17 19:13:06 UTC,486,Hardpoint,Retaliation,Pnda Gaming,Pemby,L,95,14,24,-10,0.58,17.3,29.6,6,0,0,1,69,343,0.201,20.1m,NV4,Stryker,Centurion,Trophy Drone,"Scarab, Trinity Rocket, Bombardment",15,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
3410E94E-9F51-11D2-8F03-00D9D1B0A5AB,pool-D-7,2017-03-17 19:13:06 UTC,486,Hardpoint,Retaliation,Pnda Gaming,Profeezy,L,95,13,17,-4,0.76,16,21,4,0,0,0,56,316,0.177,16.4m,KBAR-32,Merc,Reactive Armor,Shockwave,"Scarab, Trinity Rocket, Bombardment",40,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3410E94E-9F51-11D2-8F03-00D9D1B0A5AB,pool-D-7,2017-03-17 19:13:06 UTC,486,Hardpoint,Retaliation,Pnda Gaming,Prophet,L,95,17,19,-2,0.89,21,23.5,5,2,0,0,68,326,0.209,19.4m,NV4,FTL,FTL Jump,Power Slide,"Scarab, Trinity Rocket, Bombardment",36,5,1,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,1,0
B48615C2-9F51-11D2-9BD9-0CFE4545098D,pool-A-4,2017-03-17 19:17:17 UTC,569,Hardpoint,Breakout,Red Reserve,Joee,L,160,13,21,-8,0.62,13.7,22.1,5,0,0,0,76,345,0.22,15.1m,KBAR-32,Stryker,Centurion,Trophy Drone,"Scarab, Trinity Rocket, Bombardment",71,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0
B48615C2-9F51-11D2-9BD9-0CFE4545098D,pool-A-4,2017-03-17 19:17:17 UTC,569,Hardpoint,Breakout,Red Reserve,Niall,L,160,12,26,-14,0.46,12.7,27.4,6,0,0,0,85,458,0.186,14.6m,KBAR-32,Phantom,Active Camo,Rearguard,"Scarab, Trinity Rocket, Bombardment",91,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
