id,event,setting,mode,map,team,spec,player,player_score,kills,deaths,obj1,obj2,team_score,opponent,opponent_score
MLG_Vegas_GosuCrew_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Breakout,GosuCrew,Active C,SlasheR,4270,27,16,1:17,4,250,Team Envy,153
MLG_Vegas_GosuCrew_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Breakout,GosuCrew,Rewind,Apathy,3680,24,19,1:33,5,250,Team Envy,153
MLG_Vegas_GosuCrew_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Breakout,GosuCrew,R Armor,John,3615,22,20,1:04,2,250,Team Envy,153
MLG_Vegas_GosuCrew_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Breakout,GosuCrew,Overdrive,JKap,2695,15,20,1:02,4,250,Team Envy,153
MLG_Vegas_GosuCrew_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Breakout,GosuCrew,Rewind,Gunless,3390,23,24,0:39,4,250,Team Envy,153
MLG_Vegas_GosuCrew_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Breakout,GosuCrew,R Armor,DraMa,3090,16,19,1:14,0,250,Team Envy,153
MLG_Vegas_GosuCrew_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Breakout,GosuCrew,Active C,Arcitys,2600,19,25,0:20,2,250,Team Envy,153
MLG_Vegas_GosuCrew_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Breakout,GosuCrew,FTL Jump,Prestinni,2420,16,24,0:52,3,250,Team Envy,153
MLG_Vegas_GosuCrew_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Retaliation,GosuCrew,Active C,SlasheR,925,8,5,0,0,6,Team Envy,2
MLG_Vegas_GosuCrew_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Retaliation,GosuCrew,Rewind,Apathy,750,6,5,1,0,6,Team Envy,2
MLG_Vegas_GosuCrew_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Retaliation,GosuCrew,R Armor,John,1050,9,6,0,0,6,Team Envy,2
MLG_Vegas_GosuCrew_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Retaliation,GosuCrew,Overdrive,JKap,825,7,3,0,0,6,Team Envy,2
MLG_Vegas_GosuCrew_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Retaliation,GosuCrew,Rewind,Gunless,750,7,7,0,0,6,Team Envy,2
MLG_Vegas_GosuCrew_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Retaliation,GosuCrew,R Armor,DraMa,400,3,7,0,0,6,Team Envy,2
MLG_Vegas_GosuCrew_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Retaliation,GosuCrew,Active C,Arcitys,525,4,8,0,0,6,Team Envy,2
MLG_Vegas_GosuCrew_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Retaliation,GosuCrew,Overdrive,Prestinni,575,5,8,0,0,6,Team Envy,2
MLG_Vegas_GosuCrew_Team Envy_3,MLG_Vegas,LAN,Uplink,Frost,GosuCrew,Active C,SlasheR,3300,25,28,2,0,8,Team Envy,7
MLG_Vegas_GosuCrew_Team Envy_3,MLG_Vegas,LAN,Uplink,Frost,GosuCrew,Rewind,Apathy,4125,35,30,1,1,8,Team Envy,7
MLG_Vegas_GosuCrew_Team Envy_3,MLG_Vegas,LAN,Uplink,Frost,GosuCrew,R Armor,John,3725,32,33,0,0,8,Team Envy,7
MLG_Vegas_GosuCrew_Team Envy_3,MLG_Vegas,LAN,Uplink,Frost,GosuCrew,Overdrive,JKap,3600,32,31,0,0,8,Team Envy,7
MLG_Vegas_GosuCrew_Team Envy_3,MLG_Vegas,LAN,Uplink,Frost,GosuCrew,Rewind,Gunless,3625,31,29,0,0,8,Team Envy,7
MLG_Vegas_GosuCrew_Team Envy_3,MLG_Vegas,LAN,Uplink,Frost,GosuCrew,R Armor,DraMa,3925,33,31,1,0,8,Team Envy,7
MLG_Vegas_GosuCrew_Team Envy_3,MLG_Vegas,LAN,Uplink,Frost,GosuCrew,Active C,Arcitys,3800,27,32,2,1,8,Team Envy,7
MLG_Vegas_GosuCrew_Team Envy_3,MLG_Vegas,LAN,Uplink,Frost,GosuCrew,Overdrive,Prestinni,3375,29,32,0,0,8,Team Envy,7
MLG_Vegas_FaZe Clan_GosuCrew_1,MLG_Vegas,LAN,Hardpoint,Retaliation,FaZe Clan,Rewind,Attach,2910,20,11,1:16,4,250,GosuCrew,98
MLG_Vegas_FaZe Clan_GosuCrew_1,MLG_Vegas,LAN,Hardpoint,Retaliation,FaZe Clan,Centurion,Clayster,4080,16,14,1:43,6,250,GosuCrew,98
MLG_Vegas_FaZe Clan_GosuCrew_1,MLG_Vegas,LAN,Hardpoint,Retaliation,FaZe Clan,Active C,Enable,2434,15,16,0:36,4,250,GosuCrew,98
MLG_Vegas_FaZe Clan_GosuCrew_1,MLG_Vegas,LAN,Hardpoint,Retaliation,FaZe Clan,R Armor,ZooMaa,3740,23,15,1:24,5,250,GosuCrew,98
MLG_Vegas_FaZe Clan_GosuCrew_1,MLG_Vegas,LAN,Hardpoint,Retaliation,FaZe Clan,R Armor,DraMa,2045,12,19,0:32,1,250,GosuCrew,98
MLG_Vegas_FaZe Clan_GosuCrew_1,MLG_Vegas,LAN,Hardpoint,Retaliation,FaZe Clan,Active C,Arcitys,2050,15,17,0:20,1,250,GosuCrew,98
MLG_Vegas_FaZe Clan_GosuCrew_1,MLG_Vegas,LAN,Hardpoint,Retaliation,FaZe Clan,FTL Jump,Prestinni,1580,12,23,0:08,1,250,GosuCrew,98
MLG_Vegas_FaZe Clan_GosuCrew_1,MLG_Vegas,LAN,Hardpoint,Retaliation,FaZe Clan,Rewind,Gunless,3310,17,16,0:46,2,250,GosuCrew,98
MLG_Vegas_FaZe Clan_GosuCrew_2,MLG_Vegas,LAN,Search and Destroy,Scorch,FaZe Clan,Rewind,Attach,500,4,7,0,0,2,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_2,MLG_Vegas,LAN,Search and Destroy,Scorch,FaZe Clan,Overdrive,Clayster,900,9,6,0,0,2,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_2,MLG_Vegas,LAN,Search and Destroy,Scorch,FaZe Clan,Active C,Enable,475,1,8,3,0,2,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_2,MLG_Vegas,LAN,Search and Destroy,Scorch,FaZe Clan,R Armor,ZooMaa,850,6,7,0,1,2,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_2,MLG_Vegas,LAN,Search and Destroy,Scorch,FaZe Clan,R Armor,DraMa,650,5,6,1,0,2,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_2,MLG_Vegas,LAN,Search and Destroy,Scorch,FaZe Clan,Active C,Arcitys,300,2,6,0,0,2,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_2,MLG_Vegas,LAN,Search and Destroy,Scorch,FaZe Clan,Overdrive,Prestinni,1150,10,5,0,0,2,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_2,MLG_Vegas,LAN,Search and Destroy,Scorch,FaZe Clan,Rewind,Gunless,1400,10,4,0,3,2,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_3,MLG_Vegas,LAN,Uplink,Frost,FaZe Clan,Rewind,Attach,3100,28,23,0,0,4,GosuCrew,1
MLG_Vegas_FaZe Clan_GosuCrew_3,MLG_Vegas,LAN,Uplink,Frost,FaZe Clan,Overdrive,Clayster,2700,24,24,0,0,4,GosuCrew,1
MLG_Vegas_FaZe Clan_GosuCrew_3,MLG_Vegas,LAN,Uplink,Frost,FaZe Clan,Active C,Enable,3425,26,24,1,1,4,GosuCrew,1
MLG_Vegas_FaZe Clan_GosuCrew_3,MLG_Vegas,LAN,Uplink,Frost,FaZe Clan,R Armor,ZooMaa,3150,29,23,0,1,4,GosuCrew,1
MLG_Vegas_FaZe Clan_GosuCrew_3,MLG_Vegas,LAN,Uplink,Frost,FaZe Clan,R Armor,DraMa,2450,22,24,0,0,4,GosuCrew,1
MLG_Vegas_FaZe Clan_GosuCrew_3,MLG_Vegas,LAN,Uplink,Frost,FaZe Clan,Active C,Arcitys,2725,25,27,0,0,4,GosuCrew,1
MLG_Vegas_FaZe Clan_GosuCrew_3,MLG_Vegas,LAN,Uplink,Frost,FaZe Clan,Overdrive,Prestinni,2325,19,30,0,1,4,GosuCrew,1
MLG_Vegas_FaZe Clan_GosuCrew_3,MLG_Vegas,LAN,Uplink,Frost,FaZe Clan,Rewind,Gunless,2950,27,26,0,0,4,GosuCrew,1
MLG_Vegas_FaZe Clan_GosuCrew_4,MLG_Vegas,LAN,Hardpoint,Breakout,FaZe Clan,Rewind,Attach,2450,13,22,0:40,1,163,GosuCrew,250
MLG_Vegas_FaZe Clan_GosuCrew_4,MLG_Vegas,LAN,Hardpoint,Breakout,FaZe Clan,Centurion,Clayster,3720,27,21,0:32,0,163,GosuCrew,250
MLG_Vegas_FaZe Clan_GosuCrew_4,MLG_Vegas,LAN,Hardpoint,Breakout,FaZe Clan,Active C,Enable,4245,24,23,1:12,3,163,GosuCrew,250
MLG_Vegas_FaZe Clan_GosuCrew_4,MLG_Vegas,LAN,Hardpoint,Breakout,FaZe Clan,R Armor,ZooMaa,2855,16,25,1:08,1,163,GosuCrew,250
MLG_Vegas_FaZe Clan_GosuCrew_4,MLG_Vegas,LAN,Hardpoint,Breakout,FaZe Clan,R Armor,DraMa,3125,18,18,0:55,5,163,GosuCrew,250
MLG_Vegas_FaZe Clan_GosuCrew_4,MLG_Vegas,LAN,Hardpoint,Breakout,FaZe Clan,Active C,Arcitys,2465,16,20,0:49,1,163,GosuCrew,250
MLG_Vegas_FaZe Clan_GosuCrew_4,MLG_Vegas,LAN,Hardpoint,Breakout,FaZe Clan,FTL Jump,Prestinni,4350,29,24,0:55,2,163,GosuCrew,250
MLG_Vegas_FaZe Clan_GosuCrew_4,MLG_Vegas,LAN,Hardpoint,Breakout,FaZe Clan,Rewind,Gunless,6015,28,20,2:14,13,163,GosuCrew,250
MLG_Vegas_FaZe Clan_GosuCrew_5,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,Rewind,Attach,675,6,9,0,0,3,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_5,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,Overdrive,Clayster,625,6,8,0,0,3,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_5,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,Active C,Enable,600,3,8,0,1,3,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_5,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,R Armor,ZooMaa,1025,9,7,0,0,3,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_5,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,R Armor,DraMa,1225,9,6,2,0,3,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_5,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,Active C,Arcitys,1075,8,5,1,0,3,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_5,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,Overdrive,Prestinni,825,7,6,0,0,3,GosuCrew,6
MLG_Vegas_FaZe Clan_GosuCrew_5,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,Rewind,Gunless,950,8,7,0,0,3,GosuCrew,6
MLG_Vegas_FaZe Clan_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Scorch,FaZe Clan,R Armor,John,3340,23,27,0:39,2,250,Team Envy,235
MLG_Vegas_FaZe Clan_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Scorch,FaZe Clan,Overdrive,JKap,4355,22,23,2:03,3,250,Team Envy,235
MLG_Vegas_FaZe Clan_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Scorch,FaZe Clan,Active C,SlasheR,4035,26,23,1:36,7,250,Team Envy,235
MLG_Vegas_FaZe Clan_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Scorch,FaZe Clan,Rewind,Apathy,3345,22,24,0:42,3,250,Team Envy,235
MLG_Vegas_FaZe Clan_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Scorch,FaZe Clan,Centurion,Clayster,4095,20,25,1:32,2,250,Team Envy,235
MLG_Vegas_FaZe Clan_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Scorch,FaZe Clan,Rewind,Attach,4560,28,20,2:06,5,250,Team Envy,235
MLG_Vegas_FaZe Clan_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Scorch,FaZe Clan,Active C,Enable,4130,29,24,0:53,3,250,Team Envy,235
MLG_Vegas_FaZe Clan_Team Envy_1,MLG_Vegas,LAN,Hardpoint,Scorch,FaZe Clan,R Armor,ZooMaa,2915,19,25,0:24,0,250,Team Envy,235
MLG_Vegas_FaZe Clan_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,R Armor,John,975,9,7,0,0,3,Team Envy,6
MLG_Vegas_FaZe Clan_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,Overdrive,JKap,225,3,8,0,0,3,Team Envy,6
MLG_Vegas_FaZe Clan_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,Active C,SlasheR,550,4,7,0,0,3,Team Envy,6
MLG_Vegas_FaZe Clan_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,Rewind,Apathy,625,6,7,0,0,3,Team Envy,6
MLG_Vegas_FaZe Clan_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,Overdrive,Clayster,950,6,5,2,0,3,Team Envy,6
MLG_Vegas_FaZe Clan_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,Rewind,Attach,1075,10,5,0,0,3,Team Envy,6
MLG_Vegas_FaZe Clan_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,Active C,Enable,875,8,5,0,0,3,Team Envy,6
MLG_Vegas_FaZe Clan_Team Envy_2,MLG_Vegas,LAN,Search and Destroy,Crusher,FaZe Clan,R Armor,ZooMaa,425,4,7,0,0,3,Team Envy,6
MLG_Vegas_FaZe Clan_Team Envy_3,MLG_Vegas,LAN,Uplink,Precinct,FaZe Clan,R Armor,John,2775,24,28,0,0,6,Team Envy,7
MLG_Vegas_FaZe Clan_Team Envy_3,MLG_Vegas,LAN,Uplink,Precinct,FaZe Clan,Overdrive,JKap,2800,22,27,0,0,6,Team Envy,7
MLG_Vegas_FaZe Clan_Team Envy_3,MLG_Vegas,LAN,Uplink,Precinct,FaZe Clan,Active C,SlasheR,4125,36,23,0,1,6,Team Envy,7
MLG_Vegas_FaZe Clan_Team Envy_3,MLG_Vegas,LAN,Uplink,Precinct,FaZe Clan,Rewind,Apathy,2925,20,20,2,1,6,Team Envy,7
MLG_Vegas_FaZe Clan_Team Envy_3,MLG_Vegas,LAN,Uplink,Precinct,FaZe Clan,Overdrive,Clayster,2900,25,28,0,0,6,Team Envy,7
MLG_Vegas_FaZe Clan_Team Envy_3,MLG_Vegas,LAN,Uplink,Precinct,FaZe Clan,Rewind,Attach,3775,26,27,3,1,6,Team Envy,7
MLG_Vegas_FaZe Clan_Team Envy_3,MLG_Vegas,LAN,Uplink,Precinct,FaZe Clan,Active C,Enable,3200,27,22,0,0,6,Team Envy,7
MLG_Vegas_FaZe Clan_Team Envy_3,MLG_Vegas,LAN,Uplink,Precinct,FaZe Clan,R Armor,ZooMaa,2350,19,25,0,0,6,Team Envy,7
MLG_Vegas_FaZe Clan_Team Envy_4,MLG_Vegas,LAN,Hardpoint,Retaliation,FaZe Clan,R Armor,John,4570,30,22,1:07,5,228,Team Envy,250
MLG_Vegas_FaZe Clan_Team Envy_4,MLG_Vegas,LAN,Hardpoint,Retaliation,FaZe Clan,Overdrive,JKap,2705,19,27,0:28,1,228,Team Envy,250
MLG_Vegas_FaZe Clan_Team Envy_4,MLG_Vegas,LAN,Hardpoint,Retaliation,FaZe Clan,Active C,SlasheR,4815,27,22,1:34,4,228,Team Envy,250
