"","match.id","series.id","duration..s.","mode","map","team","win.","score","player","kills","deaths","X...","k.d","kills.per.10min","deaths.per.10min","player.score","player.spm","damage.dealt","event"
"1","eUnited_Lightning Pandas_Arsenal_SND_2","eulp",NA,"Search & Destroy","Arsenal","eUnited","W",6,"Abezy",5,4,1,1.25,NA,NA,715,NA,929,"Vegas"
"2","eUnited_Lightning Pandas_Arsenal_SND_2","eulp",NA,"Search & Destroy","Arsenal","Lightning Pandas","L",2,"Peatie",3,7,-4,0.43,NA,NA,600,NA,714,"Vegas"
"3","eUnited_Lightning Pandas_Arsenal_SND_2","eulp",NA,"Search & Destroy","Arsenal","eUnited","W",6,"Prestinni",12,3,9,4,NA,NA,1490,NA,1788,"Vegas"
"4","eUnited_Lightning Pandas_Arsenal_SND_2","eulp",NA,"Search & Destroy","Arsenal","eUnited","W",6,"Arcitys",5,4,1,1.25,NA,NA,600,NA,1161,"Vegas"
"5","eUnited_Lightning Pandas_Arsenal_SND_2","eulp",NA,"Search & Destroy","Arsenal","Lightning Pandas","L",2,"Dqvee",6,6,0,1,NA,NA,775,NA,1358,"Vegas"
"6","eUnited_Lightning Pandas_Arsenal_SND_2","eulp",NA,"Search & Destroy","Arsenal","eUnited","W",6,"Clayster",11,3,8,3.67,NA,NA,1425,NA,2136,"Vegas"
"7","eUnited_Lightning Pandas_Arsenal_SND_2","eulp",NA,"Search & Destroy","Arsenal","Lightning Pandas","L",2,"Joshh",6,7,-1,0.86,NA,NA,680,NA,1148,"Vegas"
"8","eUnited_Lightning Pandas_Arsenal_SND_2","eulp",NA,"Search & Destroy","Arsenal","eUnited","W",6,"JKap",3,5,-2,0.6,NA,NA,800,NA,715,"Vegas"
"9","eUnited_Lightning Pandas_Arsenal_SND_2","eulp",NA,"Search & Destroy","Arsenal","Lightning Pandas","L",2,"MadCat",1,7,-6,0.14,NA,NA,100,NA,480,"Vegas"
"10","eUnited_Lightning Pandas_Arsenal_SND_2","eulp",NA,"Search & Destroy","Arsenal","Lightning Pandas","L",2,"Alexx",3,8,-5,0.38,NA,NA,525,NA,1069,"Vegas"
